date,code,time,area,air_temp,soil_temp,lab_temp,chamber_top_volume,chamber_base_volume
2019_10_04,NNHC,0,NA,298,302.5,294,12.5,0.047265625
2019_10_04,NNHC,15,NA,298,302.5,294,12.5,0.047265625
2019_10_04,NNHC,30,NA,298,302.5,294,12.5,0.047265625
2019_10_04,NNHC,45,NA,298,302.5,294,12.5,0.047265625
2019_10_04,NNLA,AS,3362,298,299.9,294,4.4,1.03984375
2019_10_04,NNLA,0,3385,298,299.9,294,4.4,1.03984375
2019_10_04,NNLA,15,3393,298,299.9,294,4.4,1.03984375
2019_10_04,NNLA,30,3471,298,299.9,294,4.4,1.03984375
2019_10_04,NNLA,45,3255,298,299.9,294,4.4,1.03984375
2019_10_04,NNLB,AS,3289,298,301.6,294,4.4,2.17421875
2019_10_04,NNLB,0,3440,298,301.6,294,4.4,2.17421875
2019_10_04,NNLB,15,3370,298,301.6,294,4.4,2.17421875
2019_10_04,NNLB,30,3262,298,301.6,294,4.4,2.17421875
2019_10_04,NNLB,45,3183,298,301.6,294,4.4,2.17421875
2019_10_04,NNLC,AS,3417,298,301.6,294,12.5,1.79609375
2019_10_04,NNLC,0,3325,298,301.6,294,12.5,1.79609375
2019_10_04,NNLC,15,3331,298,301.6,294,12.5,1.79609375
2019_10_04,NNLC,30,3331,298,301.6,294,12.5,1.79609375
2019_10_04,NNLC,45,3272,298,301.6,294,12.5,1.79609375
2019_10_04,NEHA,AS,NA,297.8,301.5,294,4.4,1.5125
2019_10_04,NEHA,0,NA,297.8,301.5,294,4.4,1.5125
2019_10_04,NEHA,15,NA,297.8,301.5,294,4.4,1.5125
2019_10_04,NEHA,30,NA,297.8,301.5,294,4.4,1.5125
2019_10_04,NEHA,45,NA,297.8,301.5,294,4.4,1.5125
2019_10_04,NEHB,AS,NA,297.8,301.6,294,4.4,1.5125
2019_10_04,NEHB,0,NA,297.8,301.6,294,4.4,1.5125
2019_10_04,NEHB,15,NA,297.8,301.6,294,4.4,1.5125
2019_10_04,NEHB,30,NA,297.8,301.6,294,4.4,1.5125
2019_10_04,NEHB,45,NA,297.8,301.6,294,4.4,1.5125
2019_10_04,NEHC,AS,3533,297.8,302.1,294,12.5,2.17421875
2019_10_04,NEHC,0,3516,297.8,302.1,294,12.5,2.17421875
2019_10_04,NEHC,15,3510,297.8,302.1,294,12.5,2.17421875
2019_10_04,NEHC,30,3306,297.8,302.1,294,12.5,2.17421875
2019_10_04,NEHC,45,3435,297.8,302.1,294,12.5,2.17421875
2019_10_04,NELA,AS,NA,297.8,300,294,4.4,2.26875
2019_10_04,NELA,0,NA,297.8,300,294,4.4,2.26875
2019_10_04,NELA,15,NA,297.8,300,294,4.4,2.26875
2019_10_04,NELA,30,NA,297.8,300,294,4.4,2.26875
2019_10_04,NELA,45,NA,297.8,300,294,4.4,2.26875
2019_10_04,NELB,AS,3164,297.8,302.1,294,12.5,1.890625
2019_10_04,NELB,0,3101,297.8,302.1,294,12.5,1.890625
2019_10_04,NELB,15,3219,297.8,302.1,294,12.5,1.890625
2019_10_04,NELB,30,3267,297.8,302.1,294,12.5,1.890625
2019_10_04,NELB,45,3209,297.8,302.1,294,12.5,1.890625
2019_10_04,NELC,AS,3277,297.8,302.2,294,12.5,1.60703125
2019_10_04,NELC,0,3354,297.8,302.2,294,12.5,1.60703125
2019_10_04,NELC,15,3443,297.8,302.2,294,12.5,1.60703125
2019_10_04,NELC,30,3526,297.8,302.2,294,12.5,1.60703125
2019_10_04,NELC,45,3440,297.8,302.2,294,12.5,1.60703125
2019_10_04,CNHA,AS,NA,NA,NA,NA,NA,NA
2019_10_04,CNHA,0,NA,NA,NA,NA,NA,NA
2019_10_04,CNHA,15,NA,NA,NA,NA,NA,NA
2019_10_04,CNHA,30,NA,NA,NA,NA,NA,NA
2019_10_04,CNHA,45,NA,NA,NA,NA,NA,NA
2019_10_04,CNHB,AS,3093,297,298.1,294,12.5,0.9453125
2019_10_04,CNHB,0,3332,297,298.1,294,12.5,0.9453125
2019_10_04,CNHB,15,3264,297,298.1,294,12.5,0.9453125
2019_10_04,CNHB,30,3227,297,298.1,294,12.5,0.9453125
2019_10_04,CNHB,45,3158,297,298.1,294,12.5,0.9453125
2019_10_04,CNHC,AS,3181,297,299.6,294,12.5,1.03984375
2019_10_04,CNHC,0,2895,297,299.6,294,12.5,1.03984375
2019_10_04,CNHC,15,2959,297,299.6,294,12.5,1.03984375
2019_10_04,CNHC,30,2985,297,299.6,294,12.5,1.03984375
2019_10_04,CNHC,45,2988,297,299.6,294,12.5,1.03984375
2019_10_04,CNLA,AS,2942,297,295.8,294,12.5,3.403125
2019_10_04,CNLA,0,2997,297,295.8,294,12.5,3.403125
2019_10_04,CNLA,15,3070,297,295.8,294,12.5,3.403125
2019_10_04,CNLA,30,3216,297,295.8,294,12.5,3.403125
2019_10_04,CNLA,45,3092,297,295.8,294,12.5,3.403125
2019_10_04,CNLB,AS,3149,297,296.5,294,12.5,1.41796875
2019_10_04,CNLB,0,3081,297,296.5,294,12.5,1.41796875
2019_10_04,CNLB,15,3098,297,296.5,294,12.5,1.41796875
2019_10_04,CNLB,30,2924,297,296.5,294,12.5,1.41796875
2019_10_04,CNLB,45,3127,297,296.5,294,12.5,1.41796875
2019_10_04,CNLC,AS,3165,297,297.1,294,12.5,1.41796875
2019_10_04,CNLC,0,2921,297,297.1,294,12.5,1.41796875
2019_10_04,CNLC,15,3185,297,297.1,294,12.5,1.41796875
2019_10_04,CNLC,30,3027,297,297.1,294,12.5,1.41796875
2019_10_04,CNLC,45,3109,297,297.1,294,12.5,1.41796875
2019_10_04,CSHA,AS,3182,300.4,292.5,294,4.4,1.22890625
2019_10_04,CSHA,0,3096,300.4,292.5,294,4.4,1.22890625
2019_10_04,CSHA,15,3008,300.4,292.5,294,4.4,1.22890625
2019_10_04,CSHA,30,3267,300.4,292.5,294,4.4,1.22890625
2019_10_04,CSHA,45,3196,300.4,292.5,294,4.4,1.22890625
2019_10_04,CSHB,AS,3304,300.4,293.7,294,4.4,1.41796875
2019_10_04,CSHB,0,3170,300.4,293.7,294,4.4,1.41796875
2019_10_04,CSHB,15,3216,300.4,293.7,294,4.4,1.41796875
2019_10_04,CSHB,30,3331,300.4,293.7,294,4.4,1.41796875
2019_10_04,CSHB,45,3107,300.4,293.7,294,4.4,1.41796875
2019_10_04,CSHC,AS,3110,300.4,289.2,294,4.4,0.28359375
2019_10_04,CSHC,0,3095,300.4,289.2,294,4.4,0.28359375
2019_10_04,CSHC,15,3174,300.4,289.2,294,4.4,0.28359375
2019_10_04,CSHC,30,3025,300.4,289.2,294,4.4,0.28359375
2019_10_04,CSHC,45,3183,300.4,289.2,294,4.4,0.28359375
