date,code,time,area,air_temp,soil_temp,lab_temp,chamber_top_volume,chamber_base_volume
2019_10_04,NELC,0,17.775,297.8,302.2,294,12.5,1.60703125
2019_10_04,NELC,15,29.598,297.8,302.2,294,12.5,1.60703125
2019_10_04,NELC,30,34.177,297.8,302.2,294,12.5,1.60703125
2019_10_04,NELC,45,36.286,297.8,302.2,294,12.5,1.60703125
2019_10_04,CNHA,AS,NA,NA,NA,NA,NA,NA
2019_10_04,CNHA,0,NA,NA,NA,NA,NA,NA
2019_10_04,CNHA,15,NA,NA,NA,NA,NA,NA
2019_10_04,CNHA,30,NA,NA,NA,NA,NA,NA
2019_10_04,CNHA,45,NA,NA,NA,NA,NA,NA
2019_10_04,CNHB,AS,16.538,297,298.1,294,12.5,0.9453125
2019_10_04,CNHB,0,17.858,297,298.1,294,12.5,0.9453125
2019_10_04,CNHB,15,22.005,297,298.1,294,12.5,0.9453125
2019_10_04,CNHB,30,24.401,297,298.1,294,12.5,0.9453125
2019_10_04,CNHB,45,25.628,297,298.1,294,12.5,0.9453125
2019_10_04,CNHC,AS,16.278,297,299.6,294,12.5,1.03984375
2019_10_04,CNHC,0,16.121,297,299.6,294,12.5,1.03984375
2019_10_04,CNHC,15,19.963,297,299.6,294,12.5,1.03984375
2019_10_04,CNHC,30,23.875,297,299.6,294,12.5,1.03984375
2019_10_04,CNHC,45,27.594,297,299.6,294,12.5,1.03984375
2019_10_04,CNLA,AS,16.782,297,295.8,294,12.5,3.403125
2019_10_04,CNLA,0,17.251,297,295.8,294,12.5,3.403125
2019_10_04,CNLA,15,23.439,297,295.8,294,12.5,3.403125
2019_10_04,CNLA,30,26.717,297,295.8,294,12.5,3.403125
2019_10_04,CNLA,45,27.648,297,295.8,294,12.5,3.403125
2019_10_04,CNLB,AS,16.62,297,296.5,294,12.5,1.41796875
2019_10_04,CNLB,0,17.991,297,296.5,294,12.5,1.41796875
2019_10_04,CNLB,15,27.339,297,296.5,294,12.5,1.41796875
2019_10_04,CNLB,30,32.239,297,296.5,294,12.5,1.41796875
2019_10_04,CNLB,45,37.28,297,296.5,294,12.5,1.41796875
2019_10_04,CNLC,AS,16.195,297,297.1,294,12.5,1.41796875
2019_10_04,CNLC,0,16.663,297,297.1,294,12.5,1.41796875
2019_10_04,CNLC,15,20.486,297,297.1,294,12.5,1.41796875
2019_10_04,CNLC,30,24.573,297,297.1,294,12.5,1.41796875
2019_10_04,CNLC,45,28.538,297,297.1,294,12.5,1.41796875
2019_10_04,CSHA,AS,17.468,300.4,292.5,294,4.4,1.22890625
2019_10_04,CSHA,0,17.451,300.4,292.5,294,4.4,1.22890625
2019_10_04,CSHA,15,23.323,300.4,292.5,294,4.4,1.22890625
2019_10_04,CSHA,30,28.271,300.4,292.5,294,4.4,1.22890625
2019_10_04,CSHA,45,32.221,300.4,292.5,294,4.4,1.22890625
2019_10_04,CSHB,AS,17.281,300.4,293.7,294,4.4,1.41796875
2019_10_04,CSHB,0,17.576,300.4,293.7,294,4.4,1.41796875
2019_10_04,CSHB,15,25.991,300.4,293.7,294,4.4,1.41796875
2019_10_04,CSHB,30,32.721,300.4,293.7,294,4.4,1.41796875
2019_10_04,CSHB,45,35.255,300.4,293.7,294,4.4,1.41796875
2019_10_04,CSHC,AS,17.038,300.4,289.2,294,4.4,0.28359375
2019_10_04,CSHC,0,18.168,300.4,289.2,294,4.4,0.28359375
2019_10_04,CSHC,15,24.922,300.4,289.2,294,4.4,0.28359375
2019_10_04,CSHC,30,29.914,300.4,289.2,294,4.4,0.28359375
2019_10_04,CSHC,45,34.017,300.4,289.2,294,4.4,0.28359375
2019_10_04,CSLA,AS,17.295,300.4,299.6,294,4.4,2.26875
2019_10_04,CSLA,0,17.538,300.4,299.6,294,4.4,2.26875
2019_10_04,CSLA,15,23.638,300.4,299.6,294,4.4,2.26875
2019_10_04,CSLA,30,32.454,300.4,299.6,294,4.4,2.26875
2019_10_04,CSLA,45,36.311,300.4,299.6,294,4.4,2.26875
2019_10_04,CSLB,AS,16.401,300.4,294.2,294,4.4,2.646875
2019_10_04,CSLB,0,17.598,300.4,294.2,294,4.4,2.646875
2019_10_04,CSLB,15,26.744,300.4,294.2,294,4.4,2.646875
2019_10_04,CSLB,30,31.638,300.4,294.2,294,4.4,2.646875
2019_10_04,CSLB,45,36.757,300.4,294.2,294,4.4,2.646875
2019_10_04,CSLC,AS,18.693,300.4,295.1,294,4.4,0.66171875
2019_10_04,CSLC,0,19.372,300.4,295.1,294,4.4,0.66171875
2019_10_04,CSLC,15,53.742,300.4,295.1,294,4.4,0.66171875
2019_10_04,CSLC,30,75.35,300.4,295.1,294,4.4,0.66171875
2019_10_04,CSLC,45,96.494,300.4,295.1,294,4.4,0.66171875
2019_10_04,WPXA,AS,NA,NA,NA,NA,NA,NA
2019_10_04,WPXA,0,NA,NA,NA,NA,NA,NA
2019_10_04,WPXA,15,NA,NA,NA,NA,NA,NA
2019_10_04,WPXA,30,NA,NA,NA,NA,NA,NA
2019_10_04,WPXA,45,NA,NA,NA,NA,NA,NA
2019_10_04,WPXB,AS,NA,NA,NA,NA,NA,NA
